ID;Customer
0x0000;Z-Wave Protocol Owner 
0x0001;ACT - Advanced Control Technologies
0x0002;Danfoss
0x0003;Wr@p
0x0004;Exhausto
0x0005;Intermatic
0x0006;Intel
0x0007;Vimar CRS
0x0008;Wayne Dalton
0x0009;Sylvania
0x000A;Techniku
0x000B;CasaWorks
0x000C;HomeSeer Technologies
0x000D;Home Automated Living
0x000E;Reserved
0x000F;ConvergeX Ltd.
0x0010;Residential Control Systems, Inc. (RCS)
0x0011;iCOM Technology b.v.
0x0012;Tell It Online
0x0013;Internet Dom
0x0014;Cyberhouse
0x0015;Reserved
0x0016;PowerLynx
0x0017;HiTech Automation
0x0018;Balboa Instruments
0x0019;ControlThink LC
0x001A;Eaton
0x001B;ELK Products, Inc.
0x001C;IntelliCon
0x001D;Leviton
0x001E;Express Controls
0x001F;Scientia Technologies, Inc.
0x0020;Universal Electronics Inc.
0x0021;Zykronix
0x0022;A-1 Components
0x0023;Boca Devices 
0x0024;Reserved
0x0025;Loudwater Technologies, LLC 
0x0026;BuLogics 
0x0027;Reserved
0x0028;2B Electronics
0x0029;Asia Heading
0x002A;3e Technologies
0x002B;Atech
0x002C;Flex Automation 
0x002D;Broadband Energy Networks Inc.
0x002E;Carrier
0x002F;Color Kinetics Incorporated
0x0030;Cytech Technology Pre Ltd.
0x0031;Destiny Networks
0x0032;Digital 5, Inc.
0x0033;Electronic Solutions
0x0034;El-Gev Electronics LTD
0x0035;Embedit A/S
0x0036;Exceptional Innovations
0x0037;Foard Systems
0x0038;Home Director
0x0039;Honeywell
0x003A;Inlon Srl
0x003B;Allegion
0x003C;Lifestyle Networks
0x003D;Marmitek BV
0x003E;Martec Access Products
0x003F;Motorola
0x0040;Novar Electrical Devices and Systems (EDS)
0x0041;OpenPeak Inc.
0x0042;Pragmatic Consulting Inc.
0x0043;Senmatic A/S
0x0044;Sequoia Technology LTD
0x0045;Sine Wireless
0x0046;Smart Products, Inc.
0x0047;Somfy
0x0048;Telsey
0x0049;Twisthink
0x004A;Visualize
0x004B;Watt Stopper
0x004C;Woodward Labs
0x004D;Xanboo
0x004E;Zdata, LLC.
0x004F;Flex Automation
0x0050;Homepro
0x0051;Lagotek Corporation
0x0052;Reserved
0x0053;Reserved
0x0054;Reserved
0x0055;Tridium
0x0056;Reserved
0x0057;Reserved
0x0058;Reserved
0x0059;Secure Meters (UK) Ltd
0x005A;Reserved
0x005B;Home Automation Inc. 
0x005C;Reserved
0x005D;Pulse Technologies (Aspalis)
0x005E;ViewSonic Corporation
0x005F;Reserved
0x0060;Everspring
0x0061;Reserved
0x0062;Reserved
0x0063;Jasco Products
0x0064;Reitz-Group.de
0x0065;RS Scene Automation 
0x0066;TrickleStar
0x0067;CyberTAN Technology, Inc. 
0x0068;Good Way Technology Co., Ltd
0x0069;Seluxit
0x006A;Reserved
0x006B;Tricklestar Ltd. (former Empower Controls Ltd.)
0x006C;Ingersoll Rand
0x006D;Reserved
0x006E;Reserved
0x006F;Reserved
0x0070;Homemanageables, Inc.
0x0071;LS Control
0x0072;Reserved
0x0073;Reserved
0x0074;Reserved
0x0075;Reserved
