Notification Type;;Notification;;;;;;;
Name;Value;"Event / 
State";State variable;"State var. after 
<State idle> Notification";Notification name;Value;"Required
Version";Event/State parameters;Detailed description and requirements
Smoke Alarm;0x01;State;(Refer to parameters);N/A;State idle;0x00;V4;Notification value for the state variable going to idle. (V5);
;;State;Sensor status;Idle;Smoke detected (location provided);0x01;V2;"Node Location Report 
(Node Naming and Location Command Class)";
;;State;Sensor status;Idle;Smoke detected;0x02;V2;;
;;State;Alarm status;Idle;Smoke alarm test;0x03;V3;;
;;State;Alarm status;Idle;Alarm silenced;0x06;V8;;This event may be issued by an alarm device to advertise that the alarm has been silenced by a local user event.
;;State;"Maintenance 
status";Idle;"Replacement required
";0x04;V5;;This event may be issued by an alarm device to advertise that its physical components are no more reliable, e.g. because of clogged filters.
;;State;"Maintenance 
status";Idle;Replacement required, End-of-life;0x05;V8;;This event may be issued by an alarm device to advertise that the device has reached the end of its designed lifetime. The device should no longer be used.
;;State;Periodic inspection status;Idle;Maintenance required, planned periodic inspection;0x07;V8;;This event may be issued by an alarm device to advertise that the device has reached the end of a designed maintenance interval. The device is should be serviced in order to stay reliable.
;;State;Dust in device status;Idle;Maintenance required, dust in device;0x08;V8;;This event may be issued by an alarm device to advertise that the device has detected dust in its sensor. The device is not reliable until it has been serviced.
;;N/A;N/A;N/A;Unknown event/state;0xFE;V2;;
CO Alarm;0x02;State;(Refer to parameters);N/A;State idle;0x00;V4;Notification value for the state variable going to idle. (V5);
;;State;Sensor status;Idle;Carbon monoxide detected (location provided);0x01;V2;"Node Location Report 
(Node Naming and Location Command Class)";
;;State;Sensor status;Idle;Carbon monoxide detected;0x02;V2;;
;;State;Test status;N/A;Carbon monoxide test;0x03;V5;"0x01 = Test OK
0x02 = Test Failed";"The Carbon monoxide Test event may be issued by an alarm device to advertise that the test mode of the device has been activated. The activation may be manual or via signaling.
A receiving application SHOULD NOT activate any alarms in response to this event."
;;State;"Maintenance 
status";Idle;Replacement required;0x04;V5;;This event may be issued by an alarm device to advertise that its physical components are no more reliable, e.g. because of clogged filters.
;;State;"Maintenance 
status";Idle;Replacement required, End-of-life;0x05;V8;;
;;State;Alarm status;Idle;Alarm silenced;0x06;V8;;
;;State;Periodic inspection status;Idle;Maintenance required, planned periodic inspection;0x07;V8;;
;;N/A;N/A;N/A;Unknown event/state;0xFE;V2;;
CO2 Alarm;0x03;State;(Refer to parameters);N/A;State idle;0x00;V4;Notification value for the state variable going to idle. (V5);
;;State;Sensor status;Idle;Carbon dioxide detected (location provided);0x01;V2;"Node Location Report 
(Node Naming and Location Command Class)";
;;State;Sensor status;Idle;Carbon dioxide detected;0x02;V2;;
;;State;Test status;N/A;Carbon dioxide test;0x03;V5;"0x01 = Test OK
0x02 = Test Failed";
;;State;"Maintenance 
status";Idle;Replacement required;0x04;V5;;
;;State;"Maintenance 
status";Idle;Replacement required, End-of-life;0x05;V8;;
;;State;Alarm status;Idle;Alarm silenced;0x06;V8;;
;;State;Periodic inspection status;Idle;Maintenance required, planned periodic inspection;0x07;V8;;
;;N/A;N/A;N/A;Unknown event/state;0xFE;V2;;
