Command Class;Command;Identifier;value;sending node is;receiving node is;Additional comments
Alarm Command Class;Alarm Get;ALARM_GET;0x04;controlling;supporting;-
;Alarm Report;ALARM_REPORT;0x05;supporting;controlling;-
;Alarm Set;ALARM_SET;0x06;controlling;supporting;-
;Alarm Type Supported Get;ALARM_TYPE_SUPPORTED_GET;0x07;controlling;supporting;-
;Alarm Type Supported Report;ALARM_TYPE_SUPPORTED_REPORT;0x08;supporting;controlling;-
Alarm Sensor Command Class;Alarm Sensor Get;SENSOR_ALARM_GET;0x01;controlling;supporting;-
;Alarm Sensor Report;SENSOR_ALARM_REPORT;0x02;supporting;controlling;-
;Alarm Sensor Supported Get;SENSOR_ALARM_SUPPORTED_GET;0x03;controlling;supporting;-
;Alarm Sensor Supported Report;SENSOR_ALARM_SUPPORTED_REPORT;0x04;supporting;controlling;-
Alarm Silence Command Class;Alarm Silence Set;SENSOR_ALARM_SET;0x01;controlling;supporting;-
All Switch Command Class;All Switch Set;SWITCH_ALL_SET;0x01;controlling;supporting;-
;All Switch Get;SWITCH_ALL_GET;0x02;controlling;supporting;-
;All Switch Report;SWITCH_ALL_REPORT;0x03;supporting;controlling;-
;All Switch On;SWITCH_ALL_ON;0x04;controlling;supporting;-
;All Switch Off;SWITCH_ALL_OFF;0x05;controlling;supporting;-
Anti-theft Command Class;Anti-theft Set;ANTITHEFT_SET;0x01;controlling;supporting;-
;Anti-theft Get;ANTITHEFT_GET;0x02;controlling;supporting;-
;Anti-theft Report;ANTITHEFT_REPORT;0x03;supporting;controlling;-
Application Capability Command Class;Not Supported Command Class;COMMAND_COMMAND_CLASS_NOT_SUPPORTED;0x01;supporting;controlling;-
Application Status Command Class;Application Busy;APPLICATION_BUSY;0x01;supporting;controlling;-
;Application Rejected Request;APPLICATION_REJECTED_REQUEST;0x02;supporting;controlling;-
Association Command Class;Association Set;ASSOCIATION_SET;0x01;controlling;supporting;-
;Association Get;ASSOCIATION_GET;0x02;controlling;supporting;-
;Association Report;ASSOCIATION_REPORT;0x03;supporting;controlling;-
;Association Remove;ASSOCIATION_REMOVE;0x04;controlling;supporting;-
;Association Supported Groupings Get;ASSOCIATION_GROUPINGS_GET;0x05;controlling;supporting;-
;Association Supported Groupings Report;ASSOCIATION_GROUPINGS_REPORT;0x06;supporting;controlling;-
;Association Specific Group Get;ASSOCIATION_SPECIFIC_GROUP_GET;0x0B;controlling;supporting;-
;Association Specific Group Report;ASSOCIATION_SPECIFIC_GROUP_REPORT;0x0C;supporting;controlling;-
Association Command Configuration Command Class;Command Records Supported Get;COMMAND_RECORDS_SUPPORTED_GET;0x01;controlling;supporting;-
;Command Records Supported Report;COMMAND_RECORDS_SUPPORTED_REPORT;0x02;supporting;controlling;-
;Command Configuration Set;COMMAND_CONFIGURATION_SET;0x03;controlling;supporting;-
;Command Configuration Get;COMMAND_CONFIGURATION_GET;0x04;controlling;supporting;-
;Command Configuration Report;COMMAND_CONFIGURATION_REPORT;0x05;supporting;controlling;-
Association Group Information (AGI) Command Class;Association group Name Get;ASSOCIATION_GROUP_NAME_GET;0x01;controlling;supporting;-
;Association Group Name Report;ASSOCIATION_GROUP_NAME_REPORT;0x02;supporting;controlling;-
;Association Group Info Get;ASSOCIATION_GROUP_INFO_GET;0x03;controlling;supporting;-
;Association Group Info Report;ASSOCIATION_GROUP_INFO_REPORT;0x04;supporting;controlling;-
;Association group Command List Get;ASSOCIATION_GROUP_COMMAND_LIST_GET;0x05;controlling;supporting;-
;Association Group Command List Report;ASSOCIATION_GROUP_COMMAND_LIST_REPORT;0x06;supporting;controlling;-
Barrier Operator Command Class;Barrier Operator Set;BARRIER_OPERATOR_SET;0x01;controlling;supporting;-
;Barrier Operator Get;BARRIER_OPERATOR_GET;0x02;controlling;supporting;-
;Barrier Operator Report;BARRIER_OPERATOR_REPORT;0x03;supporting;controlling;-
;Barrier Operator Get Signaling Capabilities Supported;BARRIER_OPERATOR_SIGNAL_SUPPORTED_GET;0x04;controlling;supporting;-
;Barrier Operator Report Event Signaling Capabilities Supported;BARRIER_OPERATOR_SIGNAL_SUPPORTED_REPORT;0x05;supporting;controlling;-
;Barrier Operator Event Signal Set;BARRIER_OPERATOR_SIGNAL_SET;0x06;controlling;supporting;-
;Barrier Operator Event Signaling Get;BARRIER_OPERATOR_SIGNAL_GET;0x07;controlling;supporting;-
;Barrier Operator Event Signaling Report;BARRIER_OPERATOR_SIGNAL_REPORT;0x08;supporting;controlling;-
Basic Command Class;Basic Set;BASIC_SET ;0x01;controlling;supporting;-
;Basic Get;BASIC_GET;0x02;controlling;supporting;-
;Basic Report;BASIC_REPORT;0x03;supporting;controlling;-
Basic Tariff Information Command Class;Basic Tariff Information Get;BASIC_TARIFF_INFO_GET;0x01;controlling;supporting;-
;Basic Tariff Information Report;BASIC_TARIFF_INFO_REPORT;0x02;supporting;controlling;-
Basic Window Covering Command Class;Basic Window Covering Start Level Change;BASIC_WINDOW_COVERING_START_LEVEL_CHANGE;0x01;controlling;supporting;-
;Basic Window covering Stop Level Change;BASIC_WINDOW_COVERING_STOP_LEVEL_CHANGE;0x02;controlling;supporting;-
Battery Command Class;Battery Get;BATTERY_GET;0x02;controlling;supporting;-
;Battery Set;BATTERY_REPORT;0x03;supporting;controlling;-
;Battery Health Get Command;BATTERY_HEALTH_GET;0x04;controlling;supporting;-
;Battery Health Report Command;BATTERY_HEALTH_REPORT;0x05;supporting;controlling;-
Binary Sensor Command Class;Binary Sensor Get;SENSOR_BINARY_GET;0x02;controlling;supporting;-
;Binary Sensor Set;SENSOR_BINARY_REPORT;0x03;supporting;controlling;-
;Binary Sensor Get supported Sensor;SENSOR_BINARY_SUPPORTED_GET_SENSOR;0x01;controlling;supporting;-
;Binary Sensor Supported Sensor Report;SENSOR_BINARY_SUPPORTED_SENSOR_REPORT;0x04;supporting;controlling;-
Binary Switch Command Class;Binary Switch Set;SWITCH_BINARY_SET;0x01;controlling;supporting;-
;Binary Switch Get;SWITCH_BINARY_GET;0x02;controlling;supporting;-
;Binary Switch Report;SWITCH_BINARY_REPORT;0x03;supporting;controlling;-
Binary Toggle Switch Command Class;Binary Toggle Switch Set;SWITCH_TOGGLE_BINARY_SET;0x01;controlling;supporting;-
;Binary Toggle Switch Get;SWITCH_TOGGLE_BINARY_GET;0x02;controlling;supporting;-
;Binary Toggle Switch Report;SWITCH_TOGGLE_BINARY_REPORT;0x03;supporting;controlling;-
Climate Control Schedule Command Class;Schedule Set;SCHEDULE_SET;0x01;controlling;supporting;-
;Schedule Get;SCHEDULE_GET;0x02;controlling;supporting;-
;Schedule Report;SCHEDULE_REPORT;0x03;supporting;controlling;-
;Schedule Changed Get;SCHEDULE_CHANGED_GET;0x04;controlling;supporting;-
;Schedule Changed Report;SCHEDULE_CHANGED_REPORT;0x05;supporting;controlling;-
;Schedule Override Set;SCHEDULE_OVERRIDE_SET;0x06;controlling;supporting;-
;Schedule Override Get;SCHEDULE_OVERRIDE_GET;0x07;controlling;supporting;-
;Schedule Override Report;SCHEDULE_OVERRIDE_REPORT;0x08;supporting;controlling;-
Central Scene Command Class;Central Scene Supported Get;CENTRAL_SCENE_SUPPORTED_GET;0x01;controlling;supporting;-
